@T, management
desc, management.csv
 
# landuse management
# Date format 'MM-DD' 
# ID crop-ID referred to crop.csv
# Date when operation starts
# Till-id according to till.csv
# Fert-id according to fert.csv
# FAmount amount of fertilizer application [kg/ha] absolut
# Plant (1) assumes that planting operation; - no planting
# Harvest (1-4)assumes that plant is harvested; - no harvest
# for harvesting 4 codes are implemented:
# (1) assumes harvesting with main crop & cover crop, cover crop leaves the field, plant growth stopped
# (2) assumes harvesting with main crop cover crop remains on the field; plant growth stopped
# (3) assumes harvesting with main crop & cover crop; plant growth continues (may not be suitable for meadows)
# (4) assumes harvesting with main crop plant growth continues
# FracHarv is the fraction of the target biomass which will be removed by the harvest (according to harvest code)
# CID 27 spring wheat; 88 winter rape; 97 winter barley; 12 pasture; 7 Forrest-Deciduous; 98 urban; 8 Coniferous Forrest; 28 Winter-Wheat; 31Spring Barley; 20 Maize; 100 yellow Mustard; 16 Range-Brush; 18 Water
# MID: 0 Fallow; 1 Forrest-Deciduous; 2 Forrest-Coniferous; 3 Pasture; 4 Range-Grasses; 5 Range-Brush; 6 Water(not supported in AgES-W); 7 Urban Areas; 
# 
# Mon Apr 15 17:46:18 MDT 2019
# LAMPS provided information are starting with MID 10 
 
@H,MID,CID,Date,TID,FID,FAmount,PLANT,HARVEST,FRACHARV,Description
,1,1, 01-01,-,-,-,-,-,-,Fallow,
,1,1, 12-31,-,-,-,-,-,-,Fallow,
,2,7, 01-01,-,-,-,-,-,-,Forrest-Deciduous,
,2,7, 10-22,-,-,-,-,1,0.1,Forrest-Deciduous,
,2,7, 12-31,-,-,-,-,-,-,Forrest-Deciduous,
,3,8, 01-01,-,-,-,-,-,-,Forrest-Coniferous,
,3,8, 11-16,-,-,-,-,1,0.1,Forrest-Coniferous,
,3,8, 12-31,-,-,-,-,-,-,Forrest-Coniferous,
,4,12, 03-31,-,45,1125,-,-,-,Pasture,
,4,12, 06-29,-,-,-,-,1,0.9,Pasture,
,4,12, 07-09,-,21,100,-,-,-,Pasture,
,4,12, 10-27,-,-,-,-,1,0.9,Pasture,
,5,15, 01-01,-,-,-,-,-,-,Range-Grasses,
,5,15, 10-22,-,-,-,-,1,0.1,Range-Grasses,
,5,15, 12-31,-,-,-,-,-,-,Range-Grasses,
,6,16, 01-01,-,-,-,-,-,-,Range-Brush,
,6,16, 10-22,-,-,-,-,1,0.1,Range-Brush,
,6,16, 12-31,-,-,-,-,-,-,Range-Brush,
,7,18, 01-01,-,-,-,-,-,-,Water,
,7,18, 12-31,-,-,-,-,-,-,Water,
,8,98, 01-01,-,-,-,1,-,-,Urban Areas,
